,fecha_hechos,delito,alcaldia_hechos,latitud,longitud,text
9106,2010-06-24 16:00:00,ABS,BENITO JUAREZ,19.3626035499412,-99.1654512449147,"Abuso, 2010-06-24 16:00:00"
9107,2018-03-07 17:00:00,ABS,MIGUEL HIDALGO,19.399193075598102,-99.1890642332573,"Abuso, 2018-03-07 17:00:00"
9108,2015-01-16 15:00:00,ABS,ALVARO OBREGON,19.3347632596318,-99.2747800419603,"Abuso, 2015-01-16 15:00:00"
9109,2018-03-15 04:30:00,ABS,IZTAPALAPA,19.3482013466156,-99.0075867193047,"Abuso, 2018-03-15 04:30:00"
9110,2017-03-16 19:00:00,ABS,BENITO JUAREZ,19.3719794665047,-99.170848663677,"Abuso, 2017-03-16 19:00:00"
9111,2018-01-22 08:30:00,ABS,IZTAPALAPA,19.3489525250112,-99.0370608236539,"Abuso, 2018-01-22 08:30:00"
9112,2018-03-17 11:30:00,ABS,TLALPAN,19.2835429956547,-99.2025666150746,"Abuso, 2018-03-17 11:30:00"
9113,2018-03-18 00:30:00,ABS,BENITO JUAREZ,19.3672119534749,-99.1488088536841,"Abuso, 2018-03-18 00:30:00"
9114,2018-03-16 23:45:00,ABS,VENUSTIANO CARRANZA,19.4328082701461,-99.1181406057984,"Abuso, 2018-03-16 23:45:00"
9115,2018-03-18 20:30:00,ABS,CUAJIMALPA DE MORELOS,19.3878421994032,-99.25126650028129,"Abuso, 2018-03-18 20:30:00"
9116,2018-03-13 13:00:00,ABS,TLALPAN,19.2354026585188,-99.1487653686135,"Abuso, 2018-03-13 13:00:00"
9117,2018-03-19 06:30:00,ABS,GUSTAVO A MADERO,19.478581166582398,-99.11193277104229,"Abuso, 2018-03-19 06:30:00"
9118,2018-03-20 06:45:00,ABS,ALVARO OBREGON,19.361448895906502,-99.1887768996808,"Abuso, 2018-03-20 06:45:00"
9119,2017-10-15 02:00:00,ABS,BENITO JUAREZ,19.3604558295565,-99.146690242243,"Abuso, 2017-10-15 02:00:00"
9120,2018-02-26 12:00:00,ABS,IZTAPALAPA,19.369374099627603,-99.11188161104299,"Abuso, 2018-02-26 12:00:00"
9121,2018-03-21 20:30:00,ABS,VENUSTIANO CARRANZA,19.4449811051993,-99.0881047572032,"Abuso, 2018-03-21 20:30:00"
9122,2018-03-21 07:30:00,ABS,GUSTAVO A MADERO,19.554375685354604,-99.12747617109859,"Abuso, 2018-03-21 07:30:00"
9123,2018-03-21 19:50:00,ABS,CUAJIMALPA DE MORELOS,19.3306291208826,-99.3268266923703,"Abuso, 2018-03-21 19:50:00"
9124,2018-03-01 12:00:00,ABS,ALVARO OBREGON,19.3832818216663,-99.2178298461491,"Abuso, 2018-03-01 12:00:00"
9125,2018-03-23 19:38:00,ABS,IZTAPALAPA,19.3845324154467,-99.0762122109117,"Abuso, 2018-03-23 19:38:00"
9126,2018-03-25 21:55:00,ABS,VENUSTIANO CARRANZA,19.441343743129497,-99.12091434310999,"Abuso, 2018-03-25 21:55:00"
9127,2018-03-25 23:00:00,ABS,IZTAPALAPA,19.344414449176302,-99.0703618285693,"Abuso, 2018-03-25 23:00:00"
9128,2018-03-16 01:00:00,ABS,GUSTAVO A MADERO,19.4919203602218,-99.0720365913805,"Abuso, 2018-03-16 01:00:00"
9129,2018-03-26 12:00:00,ABS,GUSTAVO A MADERO,19.475990725584303,-99.08437164576071,"Abuso, 2018-03-26 12:00:00"
9130,2018-03-22 16:00:00,ABS,COYOACAN,19.336399884295197,-99.12294837182941,"Abuso, 2018-03-22 16:00:00"
9131,2018-03-21 12:00:00,ABS,GUSTAVO A MADERO,19.552633336254,-99.13953130078698,"Abuso, 2018-03-21 12:00:00"
9132,2018-03-22 15:00:00,ABS,GUSTAVO A MADERO,19.5415998149435,-99.13606676775619,"Abuso, 2018-03-22 15:00:00"
9133,2018-03-27 15:00:00,ABS,CUAUHTEMOC,19.4310090616191,-99.12651187686191,"Abuso, 2018-03-27 15:00:00"
9134,2018-03-28 20:00:00,ABS,CUAUHTEMOC,19.4445468718542,-99.1452384518178,"Abuso, 2018-03-28 20:00:00"
9135,2018-01-18 08:20:00,ABS,GUSTAVO A MADERO,19.4767161937524,-99.13153319032291,"Abuso, 2018-01-18 08:20:00"
9136,2017-11-19 12:00:00,ABS,IZTAPALAPA,19.3975652978964,-99.0524585138859,"Abuso, 2017-11-19 12:00:00"
9137,2018-01-17 07:35:00,ABS,VENUSTIANO CARRANZA,19.425308293866397,-99.1247749856063,"Abuso, 2018-01-17 07:35:00"
9138,2018-01-18 07:15:00,ABS,CUAUHTEMOC,19.4258362721164,-99.1546506282069,"Abuso, 2018-01-18 07:15:00"
9139,2018-01-19 15:00:00,ABS,GUSTAVO A MADERO,19.476715001495,-99.1325368001331,"Abuso, 2018-01-19 15:00:00"
9140,2017-01-10 04:00:00,ABS,CUAUHTEMOC,19.4454016461978,-99.15909817321449,"Abuso, 2017-01-10 04:00:00"
9141,2018-01-21 18:15:00,ABS,BENITO JUAREZ,19.3788930677534,-99.1661184432256,"Abuso, 2018-01-21 18:15:00"
9142,2015-10-18 23:30:00,ABS,BENITO JUAREZ,19.3950471554361,-99.1747626498538,"Abuso, 2015-10-18 23:30:00"
9143,2018-01-24 19:30:00,ABS,CUAUHTEMOC,19.4177363851053,-99.13110134045841,"Abuso, 2018-01-24 19:30:00"
9144,2018-01-22 21:30:00,ABS,MIGUEL HIDALGO,19.4270456244336,-99.193669107513,"Abuso, 2018-01-22 21:30:00"
9145,2018-01-25 18:30:00,ABS,AZCAPOTZALCO,19.5048102555453,-99.20013311162941,"Abuso, 2018-01-25 18:30:00"
9146,2015-09-01 10:00:00,ABS,COYOACAN,19.355645849476897,-99.1556070199065,"Abuso, 2015-09-01 10:00:00"
9147,2017-01-26 20:54:00,ABS,BENITO JUAREZ,19.3697561963276,-99.14140728522,"Abuso, 2017-01-26 20:54:00"
9148,2018-01-26 19:00:00,ABS,GUSTAVO A MADERO,19.508875084185604,-99.13518663592708,"Abuso, 2018-01-26 19:00:00"
9149,2017-01-27 01:00:00,ABS,IZTACALCO,19.4018281867557,-99.12161424099621,"Abuso, 2017-01-27 01:00:00"
9150,2018-01-29 07:40:00,ABS,BENITO JUAREZ,19.3712178106229,-99.16488351650129,"Abuso, 2018-01-29 07:40:00"
9151,2018-01-27 20:30:00,ABS,VENUSTIANO CARRANZA,19.430402408808998,-99.11400206414949,"Abuso, 2018-01-27 20:30:00"
9152,2015-10-04 22:00:00,ABS,TLAHUAC,19.287518496037396,-99.0124690786773,"Abuso, 2015-10-04 22:00:00"
9153,2018-01-31 17:30:00,ABS,COYOACAN,19.305162576747698,-99.112200602125,"Abuso, 2018-01-31 17:30:00"
9154,2017-07-18 14:10:00,ABS,MIGUEL HIDALGO,19.4528402179088,-99.17530851647051,"Abuso, 2017-07-18 14:10:00"
9155,2017-07-18 18:40:00,ABS,CUAUHTEMOC,19.4367582699497,-99.14702301097358,"Abuso, 2017-07-18 18:40:00"
9156,2017-07-18 14:30:00,ABS,IZTAPALAPA,19.3687748889986,-99.01001101266979,"Abuso, 2017-07-18 14:30:00"
9157,2017-07-04 18:00:00,ABS,MIGUEL HIDALGO,19.4378127401653,-99.20105279772129,"Abuso, 2017-07-04 18:00:00"
9158,2017-07-18 17:30:00,ABS,COYOACAN,19.3356501718823,-99.1794490005405,"Abuso, 2017-07-18 17:30:00"
9159,2016-10-01 17:00:00,ABS,AZCAPOTZALCO,19.4698829892669,-99.1662476182095,"Abuso, 2016-10-01 17:00:00"
9160,2017-07-18 15:30:00,ABS,CUAUHTEMOC,19.4269564893011,-99.1434842261851,"Abuso, 2017-07-18 15:30:00"
9161,2017-07-21 09:35:00,ABS,CUAUHTEMOC,19.4118207187295,-99.13510289653709,"Abuso, 2017-07-21 09:35:00"
9162,2017-07-15 17:30:00,ABS,CUAUHTEMOC,19.441955516529,-99.1607032225067,"Abuso, 2017-07-15 17:30:00"
9163,2017-07-10 12:00:00,ABS,IZTAPALAPA,19.358303428742897,-99.08150529689341,"Abuso, 2017-07-10 12:00:00"
9164,2017-07-17 13:00:00,ABS,GUSTAVO A MADERO,19.4574904534302,-99.0891068329962,"Abuso, 2017-07-17 13:00:00"
9165,2017-07-17 12:00:00,ABS,IZTAPALAPA,19.3526772577582,-99.094620334231,"Abuso, 2017-07-17 12:00:00"
9166,2017-07-17 12:00:00,ABS,IZTAPALAPA,19.355333408321,-99.0824328490773,"Abuso, 2017-07-17 12:00:00"
9167,2006-07-19 16:00:00,ABS,IZTACALCO,19.389408753559803,-99.0962051819994,"Abuso, 2006-07-19 16:00:00"
9168,2017-06-13 09:00:00,ABS,TLAHUAC,19.269054151813602,-99.0094887680009,"Abuso, 2017-06-13 09:00:00"
9169,2017-05-26 12:00:00,ABS,TLALPAN,19.2734924719093,-99.22995364085578,"Abuso, 2017-05-26 12:00:00"
9170,2016-11-07 09:00:00,ABS,CUAUHTEMOC,19.4586293942602,-99.13551528899981,"Abuso, 2016-11-07 09:00:00"
9171,2017-07-30 16:40:00,ABS,IZTAPALAPA,19.3668625704905,-99.00898117102061,"Abuso, 2017-07-30 16:40:00"
9172,2017-03-14 00:00:00,ABS,GUSTAVO A MADERO,19.4945608316806,-99.15124395474821,"Abuso, 2017-03-14 00:00:00"
9173,2018-02-15 12:00:00,ABS,CUAUHTEMOC,19.441678577426398,-99.13990820478772,"Abuso, 2018-02-15 12:00:00"
9174,2018-02-16 13:30:00,ABS,IZTAPALAPA,19.3355301200245,-99.0747743040407,"Abuso, 2018-02-16 13:30:00"
9175,2018-02-13 13:00:00,ABS,ALVARO OBREGON,19.3806890057677,-99.23494077729642,"Abuso, 2018-02-13 13:00:00"
9176,2018-02-12 11:30:00,ABS,TLALPAN,19.2764721922945,-99.1616256449559,"Abuso, 2018-02-12 11:30:00"
9177,2018-02-17 17:00:00,ABS,GUSTAVO A MADERO,19.552974277359,-99.15139326848329,"Abuso, 2018-02-17 17:00:00"
